LDAPS_CC3        LDAPS_CC4         0.794463
DEM              Slope             0.784179
LDAPS_CC1        LDAPS_CC2         0.779510
Present_Tmin     LDAPS_Tmin_lapse  0.772061
LDAPS_RHmin      LDAPS_CC2         0.744774
LDAPS_CC2        LDAPS_CC3         0.724546
LDAPS_RHmin      LDAPS_CC3         0.688069
LDAPS_Tmax_lapse LDAPS_Tmin_lapse  0.653425
Present_Tmax     LDAPS_Tmin_lapse  0.628705
                 Present_Tmin      0.615208
LDAPS_RHmin      LDAPS_CC1         0.612831
                 LDAPS_RHmax       0.578358
Present_Tmax     LDAPS_Tmax_lapse  0.573777
LDAPS_RHmin      LDAPS_Tmax_lapse  0.569580
LDAPS_Tmax_lapse LDAPS_CC3         0.542728
LDAPS_CC2        LDAPS_CC4         0.527333
LDAPS_Tmax_lapse LDAPS_CC2         0.525380
LDAPS_CC1        LDAPS_CC3         0.516698
LDAPS_RHmin      LDAPS_CC4         0.513937
LDAPS_CC2        LDAPS_PPT2        0.479511
Present_Tmin     LDAPS_Tmax_lapse  0.467904
LDAPS_CC1        LDAPS_PPT1        0.446930
LDAPS_Tmax_lapse LDAPS_CC1         0.440878
LDAPS_RHmax      LDAPS_CC1         0.435937
LDAPS_Tmax_lapse LDAPS_CC4         0.429739
